#ZVView-data-copy:  31-Jul-2018 05:20:21
#=======================================
#
#name:   ENDF/B-VIII.0: XE-128(N,G)XE-129
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4899
#data...
#            X            Y
#          MeV        barns
         1e-11      261.522
   1.10304e-11      249.008
   1.21669e-11      237.092
   1.34206e-11      225.747
   1.48034e-11      214.945
   1.63287e-11       204.66
   1.80111e-11      194.866
   1.98669e-11      185.542
   2.19139e-11      176.664
   2.41719e-11       168.21
   2.66625e-11      160.161
   2.94097e-11      152.497
     3.244e-11        145.2
   3.57825e-11      138.252
   3.94694e-11      131.636
   4.35362e-11      125.338
   4.80221e-11       119.34
   5.29701e-11      113.629
    5.8428e-11      108.192
   6.44483e-11      103.015
   7.10888e-11      98.0856
   7.84136e-11      93.3921
   8.64931e-11      88.9231
   9.54051e-11       84.668
   1.05235e-10      80.6165
   1.16078e-10      76.7589
   1.28039e-10      73.0859
   1.41231e-10      69.5886
   1.55784e-10      66.2587
   1.71835e-10      63.0881
    1.8954e-10      60.0692
    2.0907e-10      57.1947
   2.30612e-10      54.4578
   2.54374e-10      51.8519
   2.80584e-10      49.3707
   3.09494e-10      47.0081
   3.41383e-10      44.7587
   3.76558e-10      42.6168
   4.15358e-10      40.5775
   4.58155e-10      38.6357
   5.05362e-10      36.7868
   5.57433e-10      35.0264
   6.14869e-10      33.3503
   6.78223e-10      31.7543
   7.48105e-10      30.2347
   8.25188e-10      28.7878
   9.10213e-10      27.4101
      1.004e-9      26.0984
    1.10745e-9      24.8494
    1.22155e-9      23.6601
    1.34742e-9      22.5278
    1.48625e-9      21.4496
    1.63939e-9       20.423
    1.80831e-9      19.4456
    1.99463e-9      18.5149
    2.20016e-9      17.6287
    2.42685e-9      16.7849
    2.67691e-9      15.9814
    2.95273e-9      15.2164
    3.25697e-9       14.488
    3.59256e-9      13.7945
    3.96272e-9      13.1341
    4.37103e-9      12.5054
    4.82141e-9      11.9067
    5.31819e-9      11.3368
    5.86616e-9      10.7943
    6.47059e-9      10.2779
     7.1373e-9      9.78621
    7.87271e-9       9.3181
    8.68389e-9      8.87223
    9.57865e-9      8.44742
    1.05656e-8      8.04267
    1.16543e-8      7.65713
    1.28551e-8      7.29011
    1.41796e-8      6.94079
    1.56406e-8      6.60833
    1.72522e-8      6.29171
    1.90298e-8      5.98998
    2.09906e-8      5.70247
    2.31534e-8      5.42868
    2.52419e-8      5.19849
       2.53e-8      5.19249
    2.79068e-8      4.94313
    3.07823e-8      4.70557
     3.3954e-8      4.47933
    3.74525e-8      4.26406
    4.13115e-8      4.05938
    4.55681e-8      3.86443
    5.02633e-8      3.67834
    5.54423e-8      3.50093
    6.11549e-8      3.33197
    6.74561e-8      3.17108
    7.44066e-8      3.01793
    8.20732e-8      2.87245
    9.05297e-8       2.7339
    9.98577e-8      2.60139
    1.10147e-7      2.47508
    1.21496e-7      2.35478
    1.34014e-7      2.24018
    1.47823e-7      2.13109
    1.63054e-7      2.02772
    1.79855e-7      1.92862
    1.98386e-7      1.83398
    2.18827e-7       1.7438
    2.41375e-7      1.65785
    2.66245e-7      1.57593
    2.93678e-7      1.49783
    3.21685e-7      1.42881
    3.57316e-7      1.35284
    3.94132e-7      1.28498
    4.34743e-7      1.22026
    4.79537e-7      1.15849
    5.28947e-7      1.09954
    5.83448e-7      1.04327
    6.43565e-7     0.989551
    7.04938e-7     0.942204
    7.72126e-7     0.896432
     8.4576e-7     0.852532
    9.26369e-7     0.810435
    1.02182e-6     0.766987
     1.1271e-6     0.725516
    1.24324e-6     0.685824
     1.3618e-6     0.650654
    1.50211e-6     0.614237
    1.64528e-6     0.581799
    1.78956e-6     0.552983
    1.94649e-6     0.525207
    2.13211e-6     0.496164
    2.33533e-6     0.468405
    2.55803e-6      0.44164
    2.80184e-6     0.415974
    3.02634e-6     0.395293
    3.26867e-6     0.374994
    3.53057e-6     0.355414
    3.81327e-6     0.336542
    4.08996e-6     0.319934
    4.38673e-6     0.303852
    4.73822e-6     0.286702
    5.15372e-6     0.268774
    5.56639e-6     0.252912
     6.0124e-6     0.237693
    6.49383e-6     0.223039
    6.96502e-6     0.210247
     7.5231e-6     0.196687
    8.06897e-6     0.184839
    8.59383e-6     0.174563
    9.15328e-6     0.164665
    9.74868e-6     0.155146
    1.03106e-5     0.146977
    1.09049e-5     0.139091
    1.16148e-5      0.13053
    1.23703e-5     0.122388
    1.30833e-5     0.115425
     1.3935e-5     0.107922
    1.47382e-5     0.101544
    1.55876e-5    0.0954544
    1.64861e-5    0.0896153
    1.73142e-5    0.0848002
    1.81848e-5    0.0800855
    1.92329e-5    0.0749756
    2.03414e-5    0.0701295
    2.13632e-5     0.066087
    2.24374e-5    0.0622354
    2.35644e-5    0.0585763
    2.45759e-5    0.0555748
    2.58116e-5    0.0522486
    2.69195e-5    0.0495311
     2.8075e-5    0.0469383
    2.92802e-5    0.0444656
    3.07509e-5    0.0417262
    3.22971e-5    0.0391636
    3.39194e-5      0.03674
    3.56249e-5     0.034473
    3.74143e-5    0.0323559
    3.90203e-5    0.0306466
    4.06952e-5    0.0290408
    4.24421e-5    0.0275356
    4.42639e-5    0.0261278
    4.58428e-5    0.0250221
    4.78105e-5    0.0237873
    4.95135e-5     0.022827
    5.12797e-5    0.0219298
    5.34808e-5    0.0209356
    5.57765e-5    0.0200418
    5.77632e-5    0.0193745
    6.02426e-5    0.0186624
    6.23915e-5    0.0181618
    6.46138e-5    0.0177517
    6.69186e-5     0.017437
    6.88201e-5    0.0172807
    7.07483e-5    0.0172206
    7.12168e-5    0.0172172
     7.2731e-5    0.0172746
    7.42737e-5    0.0174104
    7.58529e-5     0.017664
    7.69231e-5    0.0179047
    7.80083e-5    0.0182208
    7.91089e-5    0.0186283
     7.9663e-5    0.0188725
    8.10719e-5    0.0196271
    8.19267e-5    0.0202004
    8.27936e-5     0.020892
    8.36686e-5     0.021722
    8.45518e-5    0.0227304
    8.51462e-5    0.0235293
    8.57447e-5    0.0244312
    8.63474e-5    0.0254774
    8.69544e-5    0.0266788
      8.726e-5    0.0273557
    8.78713e-5    0.0288755
    8.83361e-5    0.0301919
     8.8801e-5    0.0316848
    8.92681e-5    0.0333846
    8.97396e-5    0.0353318
     9.0211e-5    0.0375728
    9.05275e-5    0.0392709
    9.08463e-5    0.0411609
     9.1165e-5    0.0432569
    9.14837e-5    0.0455899
    9.18047e-5    0.0482117
    9.21279e-5    0.0511774
    9.24512e-5    0.0545328
    9.26936e-5    0.0573456
     9.2936e-5    0.0604483
    9.31818e-5    0.0639264
    9.34277e-5    0.0677836
    9.36735e-5     0.072079
    9.39194e-5    0.0769027
    9.41652e-5    0.0823402
    9.44074e-5    0.0883984
    9.45676e-5    0.0928526
    9.47279e-5    0.0977066
    9.48881e-5     0.103001
    9.50483e-5     0.108794
    9.52085e-5      0.11516
    9.53688e-5     0.122184
     9.5529e-5     0.129954
     9.5703e-5     0.139366
    9.58771e-5     0.149953
    9.59931e-5     0.157761
    9.61091e-5     0.166248
    9.62252e-5     0.175495
    9.63412e-5     0.185597
    9.64572e-5     0.196671
    9.65815e-5     0.209766
    9.67058e-5     0.224318
    9.68301e-5     0.240549
    9.69544e-5     0.258726
    9.70373e-5     0.272082
    9.71202e-5     0.286558
    9.72321e-5     0.308112
    9.73067e-5     0.323931
    9.73813e-5     0.341061
    9.74558e-5     0.359652
    9.75304e-5     0.379877
     9.7605e-5     0.401932
    9.76796e-5      0.42605
    9.77459e-5     0.449433
    9.78329e-5     0.483285
    9.79199e-5     0.521263
     9.7978e-5     0.549216
     9.8036e-5     0.579558
     9.8094e-5     0.612573
     9.8152e-5     0.648585
    9.82059e-5      0.68504
    9.82556e-5     0.721578
    9.83053e-5     0.761216
     9.8355e-5     0.804324
